,period_ending,cash_and_cash_equivalents,cash_cash_equivalents_and_short_term_investments,accounts_receivable,taxes_receivable,other_receivables,inventories,assets_held_for_sale_current,other_current_assets,total_current_assets,other_properties,plant_property_equipment_gross,plant_property_equipment_net,goodwill,other_intangible_assets,goodwill_and_other_intangible_assets,investment_properties,long_term_equity_investment,non_current_deferred_taxes_assets,other_non_current_assets,total_non_current_assets,total_assets,accounts_payable,total_tax_payable,payables,current_provisions,other_current_liabilities,current_liabilities,long_term_provisions,non_current_deferred_taxes_liabilities,non_current_pension_and_other_postretirement_benefit_plans,other_non_current_liabilities,total_non_current_liabilities_net_minority_interest,total_liabilities_net_minority_interest,common_stock,capital_stock,additional_paid_in_capital,retained_earnings,treasury_stock,other_equity_interest,total_common_equity,minority_interest,total_equity_non_controlling_interests,total_capitalization,common_stock_equity,net_tangible_assets,working_capital,invested_capital,tangible_book_value,share_issued,ordinary_shares_number,treasury_shares_number,cash_financial,cash_equivalents,short_term_investments,raw_materials,work_in_process,finished_goods,prepaid_assets,current_deferred_assets,hedging_assets_current,properties,land_and_improvements,buildings_and_improvements,machinery_furniture_equipment,construction_in_progress,accumulated_depreciation,available_for_sale_securities,held_to_maturity_securities,investmentin_financial_assets,financial_assets,non_current_deferred_assets,non_current_prepaid_assets,defined_pension_benefit,pensionand_other_post_retirement_benefit_plans_current,current_debt,current_capital_lease_obligation,current_debt_and_capital_lease_obligation,long_term_debt,long_term_capital_lease_obligation,long_term_debt_and_capital_lease_obligation,tradeand_other_payables_non_current,derivative_product_liabilities,capital_lease_obligations,total_debt,net_debt
0,2025-03-31,1083000000.0,1083000000.0,1791000000.0,40000000.0,726000000.0,4544000000.0,0.0,439000000.0,8623000000.0,2256000000.0,2256000000.0,2256000000.0,1444000000.0,1337000000.0,2781000000.0,20000000.0,328000000.0,32000000.0,622000000.0,6039000000.0,14662000000.0,1297000000.0,87000000.0,1384000000.0,896000000.0,442000000.0,7148000000.0,307000000.0,222000000.0,490000000.0,52000000.0,2582000000.0,9730000000.0,115000000.0,115000000.0,1038000000.0,3322000000.0,4000000.0,-1000000.0,4470000000.0,462000000.0,4932000000.0,4470000000.0,4470000000.0,1689000000.0,1475000000.0,4470000000.0,1689000000.0,44744810.0,44623306.0,121504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-12-31,1184000000.0,1253000000.0,1971000000.0,169000000.0,707000000.0,3528000000.0,,54000000.0,8231000000.0,34000000.0,5712000000.0,2188000000.0,1426000000.0,1376000000.0,2802000000.0,20000000.0,346000000.0,172000000.0,9000000.0,6112000000.0,14344000000.0,1151000000.0,218000000.0,1369000000.0,807000000.0,112000000.0,6782000000.0,285000000.0,356000000.0,527000000.0,32000000.0,3098000000.0,9880000000.0,112000000.0,112000000.0,696000000.0,3247000000.0,4000000.0,-1000000.0,4050000000.0,414000000.0,4464000000.0,5647000000.0,4050000000.0,1248000000.0,1449000000.0,6146000000.0,1248000000.0,43558850.0,43437346.0,121504.0,1184000000.0,0.0,69000000.0,1658000000.0,1486000000.0,384000000.0,516000000.0,0.0,32000000.0,0.0,1354000000.0,458000000.0,3327000000.0,539000000.0,-3524000000.0,50000000.0,19000000.0,69000000.0,9000000.0,183000000.0,26000000.0,275000000.0,0.0,499000000.0,53000000.0,552000000.0,1597000000.0,274000000.0,1871000000.0,2000000.0,9000000.0,327000000.0,2423000000.0,912000000.0
2,2024-09-30,474000000.0,474000000.0,1830000000.0,68000000.0,694000000.0,4107000000.0,1000000.0,377000000.0,7551000000.0,1855000000.0,1855000000.0,1855000000.0,1132000000.0,904000000.0,2036000000.0,20000000.0,352000000.0,176000000.0,494000000.0,4933000000.0,12484000000.0,1020000000.0,73000000.0,1093000000.0,699000000.0,397000000.0,6034000000.0,320000000.0,304000000.0,555000000.0,52000000.0,2725000000.0,8759000000.0,112000000.0,112000000.0,688000000.0,2557000000.0,4000000.0,-1000000.0,3352000000.0,373000000.0,3725000000.0,3352000000.0,3352000000.0,1316000000.0,1517000000.0,3352000000.0,1316000000.0,43417494.0,43417494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-30,549000000.0,549000000.0,1905000000.0,72000000.0,561000000.0,4082000000.0,1000000.0,388000000.0,7558000000.0,1732000000.0,1732000000.0,1732000000.0,1132000000.0,922000000.0,2054000000.0,21000000.0,372000000.0,197000000.0,433000000.0,4809000000.0,12366000000.0,1171000000.0,141000000.0,1312000000.0,614000000.0,296000000.0,6153000000.0,280000000.0,295000000.0,520000000.0,52000000.0,2605000000.0,8758000000.0,112000000.0,112000000.0,686000000.0,2465000000.0,4000000.0,-1000000.0,3258000000.0,350000000.0,3608000000.0,3258000000.0,3258000000.0,1204000000.0,1405000000.0,3258000000.0,1204000000.0,43417494.0,43417494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-03-31,515000000.0,515000000.0,1509000000.0,51000000.0,537000000.0,3859000000.0,217000000.0,265000000.0,6953000000.0,1661000000.0,1661000000.0,1661000000.0,1126000000.0,941000000.0,2067000000.0,22000000.0,367000000.0,151000000.0,368000000.0,4636000000.0,11589000000.0,1029000000.0,123000000.0,1152000000.0,707000000.0,266000000.0,5319000000.0,278000000.0,243000000.0,531000000.0,50000000.0,2589000000.0,7908000000.0,112000000.0,112000000.0,687000000.0,2556000000.0,4000000.0,-1000000.0,3350000000.0,331000000.0,3681000000.0,3350000000.0,3350000000.0,1283000000.0,1634000000.0,3350000000.0,1283000000.0,43417494.0,43417494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
